Gender, Age, Debt, Married_status, BankCustomer, EducationLevel, Ethnicity, YearsEmployed, NoPriorDefault, Employed, CreditScore, DriversLicense, Citizen, ZipCode, Income,Tweet,ApprovalStatus
b,30.83,0,u,g,w,v,1.25,t,t,1,f,g,202,0,"#Amazon to unplug ""aStore"" affiliate's stores October 27, 2017 $AMZN #Affiliates #program It was launched in 2006… https://t.co/OSLH2UmK11",+
a,58.67,4.46,u,g,q,h,3.04,t,t,6,f,g,43,560,$SPY Bada Bing Bada Boom the FLUSH!! $SPX $QQQ $IWM $IBB $ES $GS $BAC $NFLX $JPM $C $AAPL $GOOGL $AMZN $SNAP $VIX… https://t.co/J2pKBDlULW,+
a,24.5,0.5,u,g,q,h,1.5,t,f,0,f,g,280,824,Shorted $spy and $qqq here after taking hefty profits today on $amzn leap calls,+
b,27.83,1.54,u,g,w,v,3.75,t,t,5,t,g,100,3,@JESMCT hey $amzn finally picking up!! How have you been my friend ?,+
b,20.17,5.625,u,g,w,v,1.71,t,f,0,f,s,120,0,"$AMZN isn't the real problem with the ""death of retail."" It is an over consumed, over retailed society.… https://t.co/ngyGhrvTke",+
b,32.08,4,u,g,m,v,2.5,t,f,0,t,g,360,0,Web Stock buzz: $AMZN $AAPL $QCOM $FCX $BBY (04:56 pm) #stocks #finance #stockmarket #StockPicks,+
b,33.17,1.04,u,g,r,h,6.5,t,f,0,t,g,164,31285,@Nicole1515 @VeeDub78 $ULTA is as $AMZN immune as any retailer there is!,+
a,22.92,11.585,u,g,cc,v,0.04,t,f,0,f,g,80,1349,"This is funny RT $AMZN is actually the weakest of the big U.S. retailers, Moody’s says https://t.co/ukKrmVAI5n",+
b,54.42,0.5,y,p,k,h,3.96,t,f,0,f,g,180,314,"RT SeekingAlpha ""6 Dividend Yields You Need https://t.co/nZLGjX19JR $AGNC $AMZN $CMO $COST $CVX $KO $MO $NLY $O $PG $PM $SKT $SPG $T $TGT …",+
b,42.5,4.915,y,p,w,v,3.165,t,f,0,t,g,52,1442,Price Returns vs Expected Daily Move $NFLX $SFM $BABA $AMZN $CTRP $COST $DAL $DIS $MGM $DG $FRAN $BBY… https://t.co/t8sPgu9BKi,+
b,22.08,0.83,u,g,c,h,2.165,f,f,0,t,g,128,0,RT @JustinPulitzer: Monthly Sub - Mid Week VIDEO w/ CHARTS 8/30: #GovernmentShutDown #DebtCeiling $SPY $IWM $QQQ $AAPL $AMZN $ADSK $ATVI ht…,+
b,29.92,1.835,u,g,c,h,4.335,t,f,0,f,g,260,200,Today's Most Active #Options $AAPL $BAC $GILD $AMD $BABA $FRAN $FB $NFLX $AMZN $MSFT See full list at… https://t.co/gkCosnJfUy,+
a,38.25,6,u,g,k,v,1,t,f,0,t,g,0,0,"$4.6 #billion #fund #quadruples the S&amp;P 500’s returns, #powered by Amazon $AMZN https://t.co/7gUTLDK8kG",+
b,48.08,6.04,u,g,k,v,0.04,f,f,0,f,g,0,2690,i guess $AMZN @amazon @Twitch didn't learn about redundancy in high school.. Twitch is down.,+
a,45.83,10.5,u,g,q,v,5,t,t,7,t,g,0,0,RT @Michael_MBA: Amazon Will Need to Cut Whole Foods Prices More to Beat Wal-Mart $AMZN $WMT https://t.co/sjLsBb4KwG,+
b,36.67,4.415,y,p,k,v,0.25,t,t,10,t,g,320,0,RT @mchaudhry82: Thursday's Watch Part 1: $AAPL $AMD $AMZN $BABA $FB $GILD $CELG $ABEO $CAT $ADBE $ATVI $AVGO $GS $CMG $CRM ☺️😘 https://t.c…,+
b,28.25,0.875,u,g,m,v,0.96,t,t,3,t,g,396,0,RT @BColwell_ALT: How #Bezos Built an Empire - $amzn #cloud #industry40 #robotics #automation #iot #drones #rockets #ecommerce #ai #interne…,+
a,23.25,5.875,u,g,q,v,3.17,t,t,10,f,g,120,245,RT @BColwell_ALT: How #Bezos Built an Empire - $amzn #cloud #industry40 #robotics #automation #iot #drones #rockets #ecommerce #ai #interne…,+
b,21.83,0.25,u,g,d,h,0.665,t,f,0,t,g,0,0,Retweeted Brian D Colwell (@BColwell_ALT):  How #Bezos Built an Empire - $amzn #cloud #industry40 #robotics... https://t.co/nmzvCHrZ2T,+
